data,count
431,534
413,535
403,536
399,537
392,538
386,539
382,540
381,541
379,542
378,543
380,544
393,545
421,546
457,547
501,548
544,549
583,550
612,551
635,552
652,553
648,554
563,555
469,556
416,557
391,558
378,559
369,560
367,561
376,562
403,563
427,564
444,565
457,566
469,567
478,568
481,569
484,570
489,571
495,572
496,573
496,574
499,575
504,576
505,577
505,578
505,579
509,580
507,581
507,582
505,583
507,584
509,585
507,586
504,587
501,588
497,589
479,590
456,591
437,592
427,593
419,594
414,595
413,596
416,597
424,598
439,599
474,600
521,601
566,602
599,603
617,604
627,605
632,606
627,607
606,608
577,609
546,610
515,611
482,612
456,613
437,614
426,615
415,616
408,617
408,618
417,619
429,620
444,621
465,622
496,623
530,624
563,625
596,626
626,627
652,628
672,629
686,630
698,631
708,632
711,633
698,634
614,635
524,636
468,637
431,638
404,639
387,640
378,641
371,642
379,643
402,644
429,645
446,646
460,647
471,648
485,649
496,650
503,651
510,652
517,653
528,654
533,655
536,656
542,657
550,658
552,659
551,660
548,661
548,662
548,663
541,664
538,665
537,666
537,667
528,668
515,669
494,670
470,671
444,672
428,673
416,674
413,675
412,676
416,677
435,678
478,679
532,680
575,681
604,682
620,683
630,684
624,685
605,686
571,687
532,688
493,689
457,690
430,691
414,692
404,693
392,694
384,695
378,696
377,697
374,698
372,699
372,700
380,701
395,702
422,703
463,704
513,705
559,706
599,707
626,708
650,709
670,710
681,711
647,712
541,713
460,714
416,715
390,716
376,717
372,718
376,719
390,720
414,721
440,722
464,723
480,724
492,725
502,726
516,727
527,728
532,729
536,730
543,731
550,732
550,733
549,734
548,735
551,736
546,737
539,738
533,739
529,740
521,741
502,742
472,743
438,744
417,745
401,746
393,747
391,748
395,749
405,750
431,751
477,752
530,753
574,754
602,755
619,756
628,757
632,758
621,759
600,760
575,761
549,762
518,763
489,764
466,765
451,766
440,767
428,768
421,769
421,770
430,771
444,772
468,773
501,774
540,775
573,776
602,777
626,778
647,779
658,780
632,781
543,782
465,783
426,784
403,785
392,786
389,787
396,788
409,789
433,790
455,791
477,792
493,793
502,794
512,795
523,796
535,797
545,798
558,799
573,800
593,801
604,802
614,803
620,804
628,805
630,806
625,807
619,808
612,809
605,810
592,811
580,812
572,813
570,814
561,815
552,816
541,817
531,818
507,819
477,820
455,821
447,822
446,823
448,824
456,825
474,826
504,827
537,828
569,829
596,830
620,831
635,832
637,833
634,834
629,835
620,836
602,837
587,838
574,839
569,840
560,841
552,842
550,843
558,844
567,845
577,846
593,847
613,848
633,849
646,850
652,851
649,852
626,853
573,854
523,855
487,856
470,857
458,858
451,859
453,860
468,861
488,862
503,863
514,864
525,865
538,866
544,867
549,868
557,869
572,870
586,871
601,872
614,873
627,874
637,875
638,876
634,877
628,878
621,879
607,880
594,881
584,882
583,883
578,884
572,885
567,886
562,887
554,888
537,889
521,890
512,891
511,892
508,893
511,894
521,895
541,896
563,897
587,898
608,899
628,900
643,901
646,902
642,903
633,904
625,905
604,906
583,907
563,908
550,909
534,910
520,911
510,912
507,913
506,914
506,915
513,916
529,917
554,918
577,919
599,920
620,921
640,922
647,923
632,924
586,925
527,926
481,927
449,928
430,929
420,930
416,931
414,932
423,933
442,934
464,935
476,936
483,937
490,938
497,939
503,940
506,941
510,942
519,943
532,944
541,945
549,946
554,947
560,948
560,949
558,950
556,951
559,952
560,953
558,954
555,955
554,956
551,957
535,958
518,959
505,960
501,961
497,962
496,963
501,964
515,965
533,966
556,967
581,968
606,969
628,970
637,971
640,972
636,973
630,974
611,975
586,976
564,977
547,978
530,979
512,980
497,981
487,982
480,983
471,984
463,985
464,986
475,987
489,988
511,989
543,990
576,991
603,992
625,993
639,994
633,995
587,996
516,997
465,998
438,999
